,@type,datePublished,headline,inLanguage,reviewBody,author_@type,author_image,author_name,author_url,itemReviewed_@type,itemReviewed_name,publisher_@type,publisher_name,publisher_sameAs,reviewRating_@type,reviewRating_ratingValue
0,Review,2021-06-15T15:15:06+00:00,Excellent support team,en,"I recently studied my Level 3 HRP with DPG and I cannot fault my experience. 
The support team are always ready to help and nothing is to much trouble, thankyou to the lovely ladies I spoke to on different occasions to swap workshops :)",Person,,Michelle,https://uk.trustpilot.com/users/60c8c2eea36b7e001ae32a74,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
1,Review,2021-06-04T16:17:07+00:00,Flexible But Low Quality,en,"Pros:
I chose DPG because of the self-led learning, there are no deadlines and you can work as quickly or slowly as you want. 

Cons:
Course material is outdated and presented through a learning platform that is not modern or engaging. E-Lessons provided often do not seem relevant to the assignment for the module. 

Takes three weeks for assignments to be marked! I had a couple of occasions where this was longer than the three week period as well, which is so disheartening when your assignment is referred and you have to wait another 3+ weeks. 

Lack of support from facilitators and tutors, answers on webinars always very vague and I only found out at the end I was meant to have a personal tutor! They never reached out to check in. Without a Facebook study group I stumbled across I would have no idea how to complete the course! 

Wouldn't study again with DPG.",Person,,Zoe S,https://uk.trustpilot.com/users/5b71982d4de5666d34e1b309,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,2
2,Review,2021-06-03T12:34:45+00:00,Excellent experience with CIPD level 5 HRM qual,en,"I throughly enjoyed my CIPD level 5 studies with DPG. Although I hadn’t studied for 20 years and never online, I didn’t feel unsupported at any point because the online facilitators and DPG community were always on hand to offer advice and explain the assignments in more detail if I was unsure of anything. Now I’m finished,  I miss the course!",Person,,Ash,https://uk.trustpilot.com/users/5e874ed84d2b56f8c4bea332,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
3,Review,2021-06-02T14:25:57+00:00,Great speedy response and information…,en,Great speedy response and information provided.,Person,,Sarah,https://uk.trustpilot.com/users/60b794dd5b2dac0019a5c173,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
4,Review,2021-06-01T13:36:05+00:00,bad admin and poor course material lets it down.,en,"Where do I begin! I have just completed my Level 7 with DPG (3 year prior I had completed my L5 with them also so I have had a the full experience). this feedback relates to my L7:
General admin of the course extremely poor 
1) the log in details I got from day one didn't work and it took weeks to get this sorted, in fact it was me who suggested could it be because I had done L5 and there might be a duplication.
2) I had to follow up numerous times to get the details of course dates and locations
3) once I was even sent to the wrong location (and I later heard it wasn't just me who had this experience).
4) having picked my modules at the start of the course I was then told at the start of  my y2 to rebook, when I did I was told the London dates were now full. Only after kicking up a fuss (because 1 why ask us at the start and then do nothing and if you don't tell us we need to do this why would we!) did they book me onto London dates.
5) on almost all of the occasions prior to attending the training days I had to chase up for the online modules to be added to my profile.
6) all of the course material was extremely out of date, it hadn't been updated for over 6 years and very often in the classes we were told to ignore a lot of the content.
7) this is a personal view - I felt the exam prep workdays were not very helpful. They were light and lacked support and preparation with how to answer the questions. Often we were told to read the past papers but they did not give you actual examples of what a good answer looked like or was structured. 
8) When I finally came to get my qualification my maiden name was given to CIPD, this caused a 3 month delay in getting my certificate and again something i had to sort out - this was even after I had told DPG 3 times prior that my name had changed.

On a positive side, I found the tutors in general to be very good. 

Given how the course switched to be online due to covid I was disappointed that DPG offer no refund or reduction for what had been charged as an in person course.",Person,,customer,https://uk.trustpilot.com/users/58e5e83b0000ff000a8a2994,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
5,Review,2021-05-25T08:47:31+00:00,Clear direction and support 24/7,en,I wouldn't be more satisfied from all the proffesors and admin staff. I have completed my CIPD Level 5 Diploma beasuse of their clear direction supoort. Thank you for everything DPG. I am looking forward to reach Level 7 in few years.,Person,,Chris Serros,https://uk.trustpilot.com/users/5fc0f111a38899001ba26925,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
6,Review,2021-04-29T19:03:56+00:00,Lucy Simpson was very supportive…,en,"Lucy Simpson was very supportive throughout my course, if i had any concerns or questions she answered them promptly and accordingly. If you are someone who is considering distance learning i would recommend this course. Thank you for all your help.",Person,,Elysia,https://uk.trustpilot.com/users/608b02ecf17ba5001944a02d,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
7,Review,2021-04-28T15:14:10+00:00,Great support,en,"I was unsure if I would complete the course when I started as English is not my language. However, the online facilitator has always been there to support me and I found online community useful. Thanks to all support, I could complete all my programme 100% online!",Person,,Miho,https://uk.trustpilot.com/users/5eb92eceee8f29fb80ce3686,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
8,Review,2021-04-27T13:50:52+00:00,I have completed my CIPD level 5 with…,en,"I have completed my CIPD level 5 with DPG and now started my level 7 with them as well, as DPG prices are so competitive than the rest of the providers and the support is unparalleled. Roderick Briggs dealt with my enquiry very promptly and helped me by answering all my queries very efficiently. I would highly recommended DPG.",Person,,M Gill,https://uk.trustpilot.com/users/60881668601f8200135770f8,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
9,Review,2021-04-23T16:12:41+00:00,DPG made my dream come true!!,en,"DPG made my dream come true. I worked in the hospitality sector for almost 20 years and was sadly made redundant last year due to the pandemic. The majority of my experience was in Finance. 
The chairman of the Hotel asked me to move from my Financial Controller role to HR as a Group HR Manager–Support Services as part of a restructuring of the HR team. This is where my love for HR started. The pandemic gave me an opportunity to study towards my CIPD. I chose to study with DPG  and the guidance I received was brilliant - access to their platforms, community and tutors. I finished my course in 9 months with a break of one month. I have also managed to find a role in HR. This was all due to the immense support i received from DPG..",Person,,Nehal Shah,https://uk.trustpilot.com/users/6082f1f20ebb290014d0f555,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
