,@type,datePublished,headline,inLanguage,reviewBody,author_@type,author_image,author_name,author_url,itemReviewed_@type,itemReviewed_name,publisher_@type,publisher_name,publisher_sameAs,reviewRating_@type,reviewRating_ratingValue
0,Review,2021-06-14T14:17:38+00:00,Not a great online course platform at…,en,"Not a great online course platform at all. Ok, most are free, but you do not get much benefit from the courses. At least in my experience.",Person,,Isaac B. H.,https://uk.trustpilot.com/users/60c763fd88347f001ae59b62,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,2
1,Review,2021-05-01T12:37:32+00:00,Beware this organisation.......,en,"I did step one of the course then found out I had to pay twenty pounds for the certificate, which I have not received. Every time I try to get into step two it tells me my details are not correct. It wont let me reset my password though.  Nobody answers my emails and they don't give a telephone number for contact.  In fact it says on their website we cannot contact them other than email.  I got in touch with someone from the NHS as this is an NHS course being run by Future Learn, who in turn got someone from Future Learn to send me an email.  I replied, but have heard nothing since. Its been several days now that I have tried to get back on site to finish my course.  A complete waste of time.  If this is not a scam it is at the very least a shoddily run business.",Person,,Ann Wakeham,https://uk.trustpilot.com/users/608d4b7bf1418b001a6ad8f9,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
2,Review,2021-04-24T05:56:13+00:00,Excellent courses,en,I have completed about 18 future learn courses during the pandemic and enjoyed all but one.  The interaction with the other students was a life-line to those of us living alone.  There was only one course that I didn't like as there was too much filling up material which was totally unnecessary.  Apart from that they were all excellent. I have two more lined up to study in the immediate future.,Person,,Adrienne Cullen-Morgan,https://uk.trustpilot.com/users/5dbd5233d7791af58432123c,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
3,Review,2021-04-23T18:51:17+00:00,I signed up for a course which was…,en,"I signed up for a course which was advertised as free. I spent the time doing the learning (~4 hours). It was not until I got to the end of this time that I found you could not do the final module quiz or get a certificate without paying.
I wouldn't have wasted my time doing the module if I knew thaf couldn't complete it.
I think it very dishonest that it is not made clear at the start that you need to pay. (Especially as a week of thee course I was doing was about respect!)
Please be careful.",Person,,B Kingston,https://uk.trustpilot.com/users/5e35c5b8e5a4c706cc8cd47f,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
4,Review,2021-04-08T12:23:57+00:00,first month,en,just trying this platforms for 1 month and its very good,Person,,Fadhil Irvansya,https://uk.trustpilot.com/users/606e8c2947417900190aaeea,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
5,Review,2021-03-26T21:53:56+00:00,Preaching not Learning,en,"I tried to respond and comment on the course I signed up to but was blocked. That to me is preaching NOT learning.

It also became evident to  me very early on in the course that it was the antithesis of what I was expecting. However no follow up by FL, no ""how is it going for you? ""or did it meet your expectations?""

Fortuately it was FREE so I am off to look for a better quality course elsewhere.",Person,,Mike,https://uk.trustpilot.com/users/4dd174b600006400010876e1,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
6,Review,2021-02-23T08:24:39+00:00,"Great for me, but maybe not for everyone.",en,"This is a useful and interesting place for me to learn new things and dip my toe into areas of study that are new to me. However, I am retired, hold two doctorates in my own fields and have no need of professional advancement. It seems that those who perhaps need reasonably priced access to courses that will help them professionally are not receiving what they need or expect - I say this because of the experiences of family members, not from the perspective of other people commenting here.
So, Future Learn suits me perfectly, but perhaps not everyone else. I noticed the information about being able to download a certification on one course I took came at the end of all the work put in, not early on. Busy, working people with children can't necessarily afford time to complete courses they then have no proof of having done. On the other hand, it would be easy for anyone to scroll through, click to say they had completed units they hadn't read and then award themselves a certificate, so perhaps a written piece needs to be submitter first, which would inevitably involve cost, but then, this is a business!",Person,,Jenni L,https://uk.trustpilot.com/users/6034bbaebebbb0001aa82254,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
7,Review,2021-01-28T21:17:55+00:00,use a different education provider,en,"recently signed up for a free cyber course started the course then realised a few questions in that I would now have to pay £62 for a certificate and even to do any assessments on the ad on reed stated you only had to pay if you wanted longer access to the course.
as someone else has said there were a lot of pop up's as well would not use this education provider again.
has made me wary of doing a free course again I think future learn is a bit of a con.",Person,,Sparkle Miller,https://uk.trustpilot.com/users/5b85c44c4de5666d3493344e,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,2
8,Review,2021-01-27T11:48:55+00:00,While I agree that most of the free…,en,"While I agree that most of the free AdHoc courses on this site are absolutely fine.  I have been very let down by a Machine Learning course, that to be honest was well below the standards I would have expected from a company like FutureLearn.  Then when they moved me to a new course, was let down at 5.20 on the working day before the course was due to start.  Being an accredited professional, have been very let down and have really given me alot to catch up through lost time for my expected CPD.  Beware of paid courses, as it seems thats where the issue is here.",Person,https://user-images.trustpilot.com/5932ced10000ff000a9f8150/73x73.png,Craig Hannon,https://uk.trustpilot.com/users/5932ced10000ff000a9f8150,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
9,Review,2021-01-24T08:56:18+00:00,Scam,en,Please read!!!!! The main site is brilliant and all education is great. I'm giving the one star to warn people about the app. There is not one. I have been in contact with future learn and they now know people are pretending to be them. If you see the app do not download. Do not give login details or card details.,Person,,Bradley Bennett,https://uk.trustpilot.com/users/600d362f6bf5d70019eccd7a,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
10,Review,2021-01-15T15:55:04+00:00,Refund policy,en,"Refund policy
I found the courses on psychology excellent, but I am experiencing some delay and difficulties with my request for refund, just one day after purchasing.
I believe future learn could improve customer service.
Still waiting on the refund!",Person,https://user-images.trustpilot.com/5b8540664de5666d34795c6b/73x73.png,Valéria Mac KNight,https://uk.trustpilot.com/users/5b8540664de5666d34795c6b,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
11,Review,2021-01-03T17:16:01+00:00,Truly disappointing courses,en,"Truly disappointing courses, a complete waste of my effort, nothing I didn't know already... You only teach dictionary definitions of what is what (you can google all of it btw), but not how to actually work in the chosen type of job. It's like learning the definition of the word ""finances""... good for you now you know what it is, but you cannot find a job in the finances. Go to any market broker and tell them that you would like a job because you know what the definition of their job is. NO REAL KNOWLEDGE WILL BE GAINED FROM THEM!",Person,,Subete Subete,https://uk.trustpilot.com/users/5ca60a7d66d61ab1f48726c9,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
