,@type,datePublished,headline,inLanguage,reviewBody,author_@type,author_image,author_name,author_url,itemReviewed_@type,itemReviewed_name,publisher_@type,publisher_name,publisher_sameAs,reviewRating_@type,reviewRating_ratingValue
0,Review,2021-06-15T15:02:23+00:00,Bad experience,en,U promise moons and stars but are only looting people. I was promised languages but my ward did not learn a single language in 47 classes I enrolled for! Whitehat jr are cheaters,Person,,customer,https://uk.trustpilot.com/users/60c8c0ff5349c7001b65cf35,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
1,Review,2021-06-15T12:38:01+00:00,My Son Jayraj mistry has completed all…,en,"My Son Jayraj mistry has completed all class. but still he has not developed as we accepted. even he can't able to speak in English when i talked with my son.

Before join Class your marketing Team has committed me, we will also teach personal development but we not satisfy with whitehate Junior. 

we lost money.",Person,,customer,https://uk.trustpilot.com/users/60c89f28d98adf001995a490,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,2
2,Review,2021-06-15T10:30:02+00:00,It was great teaching!!!,en,It was great teaching and simplified learning. Everything was explained perfectly.,Person,,customer,https://uk.trustpilot.com/users/60c88129a299a10019140539,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
3,Review,2021-06-15T10:07:31+00:00,"Shaurya Kedia grade 7, Dehradun.",en,I am very happy with my son’s learning with Whitehat junior.. specifically the teacher Richa.. she is not only a teacher she is a beautiful mentor who knows my son in and out. She resolved all my confusion logically and helped me renew the classes with Whitehat. Thanks a lot Richa ma’am😊👍,Person,,customer,https://uk.trustpilot.com/users/60c87be3041480001bea722e,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
4,Review,2021-06-15T09:50:31+00:00,it was very god experience with…,en,it was very god experience with Whitehat jr.,Person,,customer,https://uk.trustpilot.com/users/60c877e699e71c001a80bc56,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
5,Review,2021-06-15T09:06:50+00:00,Team WhiteHat,en,Your back end team is very strong. They reply & comply very well. It is good thing to have in digital company. The most amazing is the concept which you bring in county which is very appreciable. My kid learn from Miss Naima & he told she was fantastic. Even she had called me couple of time to inform me about my ward's progress. I am impress with her skill.,Person,,Sunil Godbole,https://uk.trustpilot.com/users/60c86daa56064000191e613b,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
6,Review,2021-06-15T08:37:15+00:00,5 stars,en,5 Stars really good classes,Person,,customer,https://uk.trustpilot.com/users/60c866baa36b7e001ae2f5c4,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
7,Review,2021-06-15T08:34:22+00:00,okay,en,okay NICE FOR STUDENTS LEARNING,Person,,ARKA,https://uk.trustpilot.com/users/60c8660d5f7075001a2d47a7,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
8,Review,2021-06-15T07:48:10+00:00,Good,en,Good for know for kids growth.,Person,,customer,https://uk.trustpilot.com/users/60c85b39041480001bea60fa,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
9,Review,2021-06-15T04:58:07+00:00,We liked the way naveena teacher has…,en,We liked the way naveena teacher has taught my son Jeshwin. She patiently listened to the doubts and explained the concepts very clearly.,Person,,customer,https://uk.trustpilot.com/users/60c8335f5a3dbe001b386db4,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
10,Review,2021-06-15T02:19:43+00:00,Best,en,Best is the best,Person,,Prakriti shree patel,https://uk.trustpilot.com/users/60c80e3e56064000191e3448,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
11,Review,2021-06-15T02:05:51+00:00,WHITE HAT JR TRAINING PROCESS FULLY SATISFIED ME,en,Till today i have no objection regarding teaching process. Padmanava's teacher is very student friendly. Padmanava very much satisfied .,Person,,PADMANAVA PARUI,https://uk.trustpilot.com/users/60c80aff5f7075001a2d1f18,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
12,Review,2021-06-14T18:24:23+00:00,very very unprofessional service,en,"very very unprofessional service. Join if you want to keep making and receiving calls about scheduling the classes, teacher replacenement and referral promos.",Person,,Rupali Solanki,https://uk.trustpilot.com/users/60c79ecc88347f001ae5c1fc,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
13,Review,2021-06-14T15:59:45+00:00,Overall a wonder experience till now.,en,Overall a wonder experience till now.,Person,,customer,https://uk.trustpilot.com/users/60c77cf0a182a3001bd46af6,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
14,Review,2021-06-14T15:24:57+00:00,The teachers are doing admirably very…,en,"The teachers are doing admirably very well as we can observe the aptitude of our children are grooming. In addition to this we all hope the constructiveness and creativity will also improve.
As not all children are able to cross question, in what they are learning, which I think is a big hurdle in eradicating  their shyness. Assuming this factor be considered by their teachers also, which is also undoubtedly the  responsibility of parents too.
thanks and regards,
brijesh singh",Person,,Brijesh Singh,https://uk.trustpilot.com/users/60c774c845a2ed001976fb5e,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
15,Review,2021-06-14T13:42:02+00:00,Great fun learning experience,en,Great fun learning experience.  My kid eagerly waits for the class every day.  Highly recommend it  for kids,Person,,customer,https://uk.trustpilot.com/users/60c75caa041480001be9e9fb,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
16,Review,2021-06-14T10:45:01+00:00,Things Need to Change and Be a little reciprocative and transparent,en,Lot of followup everytime for the Certification and no communication from the Team. Very disappointing. Its always lots of promises and low delivery of words.,Person,,customer,https://uk.trustpilot.com/users/60c7332c041480001be9cb3d,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,3
17,Review,2021-06-14T03:39:22+00:00,Student's queries to be addressed on priority,en,There should be a mechanism to get the student's queries answered without waiting for the next class to take place. This is a missing link and needs to be improved.,Person,,RAJAN VERMA ,https://uk.trustpilot.com/users/60c6cf69b8bef8001fc8bd30,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
18,Review,2021-06-13T05:07:16+00:00,Course of study is Innovative and…,en,"Course of study is Innovative and academic. It is Encouraging our child to create new things, It is increasing his brain capacity to store many things at a time. He has gained computer knowledge beside this he has increased his English vocabulary and presentation skill during his path of journey towards White Hat. 
Teaching is Excellent and other Technical Team and Admin Team are cooperative and efficient

Thank you to White Hat Jr Team and Abhisha Madam for consistent cooperation.",Person,,Ajanta Baliar Sinha,https://uk.trustpilot.com/users/60c59284b8bef8001fc83ff7,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
19,Review,2021-06-12T12:51:16+00:00,We as parents are super impressed by…,en,"We as parents are super impressed by the entire programme. The quality , dedication  commitment, passion and patience of teachers, support staff and  Management  is simply amazing. We are proud of this association.",Person,https://user-images.trustpilot.com/60c4adc3041480001be8bcd9/73x73.png,Swati Bakshi Purkayastha ,https://uk.trustpilot.com/users/60c4adc3041480001be8bcd9,Thing,WhiteHat Jr,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
