,@type,datePublished,headline,inLanguage,reviewBody,author_@type,author_image,author_name,author_url,itemReviewed_@type,itemReviewed_name,publisher_@type,publisher_name,publisher_sameAs,reviewRating_@type,reviewRating_ratingValue
0,Review,2021-06-02T20:22:21+00:00,"World-class universities, but mediocre support and poorly designed website",en,"I've completed several classes with edX. The content of the courses was excellent, but there are some serious flaws with the website and the support team that leads to a poor user experience for learners. This experience means it will be unlikely I will purchase any future courses from them.

First, the website is simply not designed well:
- It's difficult to browse for new course titles. 
- You cannot save courses for later. 
- The ""Dashboard"" lists all of the courses you've taken, regardless of whether the course was completed. If you un-enroll from a course, it won't appear on the Dashboard, but you cannot take it the course again until the next ""session"" or if you pay (maybe).
- Courses cannot be archived.
- If you complete a course, you cannot share achievement page that shows up after finishing the course.
- There is also no link to the main course page, where you originally enrolled.

Another website flaw is that after a course has expired, you can no longer view the home screen for that course. The home screen is the page you go after enrolling. That page has all the dates you need to know for the course, so if you no longer have access, you cannot get the dates. The problem here is that although a course has expired, there is still time to upgrade to a verified certificate. But since each course has its own deadline, you need to access the home screen for each course to learn this information. 

The support staff leaves a lot to be desired. In my case, I took a few classes but did not upgrade while I considered if it was worth the money, which is/was limited. Eventually, the course expired, but the website still gave me the option to upgrade. I wanted to know how much time I had left to consider my options, before my access to upgrade would expire, but the site does not provide dates for when this post-course/pre-upgrade period ends. So I contacted their support team to learn how I could find out when my course would expire. After submitting my question, I had a 14+ email exchange with someone on their support who repeatedly told me I could ""upgrade to the verified track by paying the fee"" or enroll in the the next session. At one point, they said I could view the course's homepage to find this information. But when I asked for an explanation on how to view the course homepage after my access to a course has expired, they support staff began sending progressively worse messages. Instead of addressing their own suggestion, they simply copied and pasted responses from their FAQ, no regard to how well the response actually answered my question. They even left a final message that was literally an overview of how edX works, ""edX is a non-profit massive open online course provider...."" Condescending, in other words. There is still no date available on the dashboard, which would answer my question. It's basic sales psychology. The least they could say is, ""Sorry that feature isn't available right now"", or something remotely helpful along those lines. 

My conclusion is that when their support staff cannot answer the question, they've been given orders to not provide answers outside of a narrow set of responses, regardless of how well the response provides value or a solution. 

The other thing that doesn't make sense is their enrollment/expiration policy. For instance, un-enrolling from a course means you cannot re-enroll until the course is offered again. However, when you view a course's overview page (found after searching), it will show you that the course begins on whatever date is today. But, if you go to your Dashboard, you will see no record of having ever taken the course. There are other issues I could go into, but those are some of the main errors I've seen. 

It's a shame some really world-class universities are associated with a mediocre support team and poorly designed website. The content is really fantastic, but dealing with the website and the support team is very challenging.",Person,,Allison,https://uk.trustpilot.com/users/60b7e86b9110c3001a8e767b,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
1,Review,2021-05-28T16:52:05+00:00,Thin unstructured content and tech not working,en,"The courses: 
I have done a course with Harvard  and one with Smithsonian. 
Both times the content was thin and unstructured.
I have seen more professional content by some YouTubers than I have on these courses.
The study time estimates are a complete joke: one course had 7 hrs to 35 hrs study (in itself not very helpful). Would you believe it had 60 hours of film to watch, 20 recommended books and 15 assignments to submit? Did I mention you had to have a blog or create a website for it and do social media posting at every step? More like 100 hours of work minimum.

The platform:
- The tech is at best tedious and at worse not working at all.
- Moving from one page to another takes time and it is the only way to get an overview of the course (to gage your study time).
- Some parts of the course are missing from the syllabus and will only appear as you progress (too bad if you are approaching the deadline)
- For some courses, the units will not mark as complete (even if you have done all the work and submitted 5 times). If you get in touch with the helpdesk, they respond ""it will not affect you, the teacher doesn't look at that""... then you check their FAQ and see that that it is totally the opposite: because your units aren't showing as complete you are not going to get graded at all.
Then you check Trustpilot and see that other's work never got graded and people never got their certificate, despite contacting the helpdesk AND the relevant university.
After a second ticket raised with the helpdesk and 10 emails, i'm still trying to get the entirety of my work graded.

Essentially these courses are a Windows of marketing for the universities and institutions on the platform. They'll even use you to do loads of social media posting for them as mandatory to submit your coursework.
If all you want is a certificate from a prestigious institution (and you are lucky with the technology and are unconcerned about learning or being treated as a human by the helpdesk), then this platform may be for you.
If you are serious about learning and would like some respect, it is not.",Person,,Maud,https://uk.trustpilot.com/users/56d989b30000ff000a0bb8e3,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
2,Review,2021-05-05T20:21:33+00:00,Very unreasonable,en,"I added an extra star for the effort the teachers went through to record the lecture videos, because the visuals help with learning the concepts. But that's about where it ends. 
This was my second attempt at completing a particular course (free version) relevant to my current university studies. During the first attempt, I admittedly didn't manage my time well, and I only completed 3 of the 6 weeks before I lost my access to the course. I was bummed but I moved on. Months later, I see the same course has become available again. I had to start from scratch and do all the tests again from week 1 (I want to achieve a passing grade). I knew the due date was 3 May, so I worked hard to get to the end of the course this time. As I logged on for what I planned to be my last session just before 8am on 3 May, I found I no longer had access. Apparently EdX (in contrast to the rest of the world) defines a 3 May closing date as a ""midnight on 2 May"" due date. This is no doubt part of their plan to force people to buy the (very overpriced) 'verified certificate', because it's the only way we won't lose all our progress, and most people do use that last day to complete these online courses. 
I'm so frustrated. I've poured HOURS of valuable time into this course (3 'weeks' the first time and 5 'weeks' the second time) and I have squat to show for it. Not even the meaningless free certificate. I emailed the support and begged to give me just two more hours of access, since their due date was very misleading. They said no of course. Then I applied for the financial support to pay for the verified certificate, which they rejected.
I wouldn't recommend EdX to anyone. I have completed free and verified courses on Coursera and I haven't had any issues.",Person,,Nadia,https://uk.trustpilot.com/users/605dc5ce2f9b2c00197d490b,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,2
3,Review,2021-04-23T21:28:47+00:00,Avoid Edx,en,"To note, I had to pick a star to submit.... but they deserve no stars.

It is advisable to avoid this edX. 

As you can see from these comments on Trustpilot, there has been no effort from edX to even address any of these comments listed, which shows you no care for its audience.

I signed up for a course which I thought would be enjoyable as these courses are not accreditable at all so the level of knowledge should not be of a degree or up, however, the teacher mark paper-based on THEIR level rather than the students level. 

In the end, these courses are mostly marked by other students which are not knowledgeable in the background of the course topic. They are the ones which grade you. 

There is supposedly a teacher who looks over your course work but I think they are robots as the feedback was the same from the student. 

There is no resubmission either, you cant talk to any teachers for support and the admin is a nightmare. 

Their response is about as fast as a snail.

The admins also are not educated nor trained on the course so they say something which they THINK is right but is not.

The journey with edX is so stressful, rather than enjoyable and a lot of it is very misleading as well only when you come out to the end do you find out. 

While the course might look appealing, my suggestion is to go straight to the Uni themselves and do the course there.",Person,,P.B,https://uk.trustpilot.com/users/55c2f8c00000ff0001d207be,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
4,Review,2021-03-26T04:49:53+00:00,Great Experience Overall,en,Really enjoyable experience with this. I found I enjoy the Harvard classes the most - Wasn't very committed until I figured that out. Really appreciate the free content and the use of videos. Felt like I was in the classroom.,Person,https://user-images.trustpilot.com/605d6685cb1564001aec3681/73x73.png,John Wu,https://uk.trustpilot.com/users/605d6685cb1564001aec3681,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
5,Review,2021-02-19T08:34:51+00:00,SCAM ALERT!!,en,"SCAM ALERT!! This company is performing fraudulent advertising and has no abiltiy to be contacted or held accountable. I paid for a class advertised as ""Berkley School Of Music"" curriculum. I paid for the class and created an account, but was never provided access.  

When I attempt to sign on it says: 

""In order to sign in, you need to activate your account"". 

However, no email was ever sent and the link directs me to customer support but only goes to an FAQ. 

There is no actual customer support phone #, email, or chat. I never thought this would happen since I am used to taking online classes from other sites like Udemy etc. This was a real shocker. 

They took my money and disappeared. BEWARE!!",Person,,Jonathan ,https://uk.trustpilot.com/users/602f77dd509104001a280f80,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
6,Review,2021-02-15T13:47:07+00:00,I would recommend,en,I did many courses and a program on EdX and I was overall happy with it. Lately I had a technical issue and had to contact the support team. They replied the next day with a solution. Definitely satisfying service and the courses' content were great.,Person,,SigJ,https://uk.trustpilot.com/users/602a7b430da303001b81562c,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
7,Review,2021-02-13T01:05:45+00:00,Just cheaters,en,Just cheaters. Took my money and achieved the course so I can not get certificate. I do not recommend!,Person,,Alona Gorodetska,https://uk.trustpilot.com/users/602725db3155ec001ab5a332,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
8,Review,2021-02-11T18:54:35+00:00,Cool course TERRIBLE service,en,"Cool course TERRIBLE service, I had to cancel the certificate because It would not allow me to verify my account in any way, I tried everything. But there is no way to contact them.... Only FAQs because their request submission form is blocked due to an apparent ""increase in popularity of online education"". I do not understand how they can be providing expensive certificates if at the first round users are getting plenty of technical issues. In addition, I also lost all my progress in the course in the moment I bought the certificate and when I log in from other devices they didn't even recognise I was enrolled... A shame because the course on CS by MIT was interesting.",Person,,Antonio Sanmateu,https://uk.trustpilot.com/users/60257d67f95fcc00190a0146,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,2
9,Review,2021-02-04T09:57:42+00:00,They offer up to date courses with…,en,They offer up to date courses with amazing customer service and delivery.,Person,,Maina Iraki,https://uk.trustpilot.com/users/601bc509ee99ed001940a84f,Thing,edX,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
